CID,CST_KEY,BDATE,GEN
NASAW00011177,AW00011177,01-01-1948,Male
NASAW00011178,AW00011178,20-08-1954,Male
NASAW00011179,AW00011179,08-12-1959,Female
NASAW00011180,AW00011180,01-07-1948,Female
NASAW00011181,AW00011181,01-02-1960,Male
NASAW00011182,AW00011182,22-02-1950,Female
NASAW00011183,AW00011183,12-01-1950,Female
NASAW00011184,AW00011184,13-11-1955,Female
NASAW00011185,AW00011185,07-04-1950,Female
NASAW00011186,AW00011186,18-11-1949,Female
NASAW00011187,AW00011187,21-08-1949,Female
NASAW00011188,AW00011188,06-03-1950,Female
NASAW00011189,AW00011189,12-01-1950,Male
NASAW00011190,AW00011190,20-12-1949,Male
NASAW00011191,AW00011191,17-06-1951,Female
NASAW00011192,AW00011192,13-03-1951,Male
NASAW00011193,AW00011193,13-08-1950,Male
NASAW00011194,AW00011194,08-12-1950,Female
NASAW00011195,AW00011195,10-08-1951,Female
NASAW00011196,AW00011196,05-12-1951,Male
NASAW00011197,AW00011197,16-12-1951,Female
NASAW00011198,AW00011198,25-05-1952,Female
NASAW00011199,AW00011199,02-11-1957,Female
NASAW00011200,AW00011200,21-05-1953,Male
NASAW00011201,AW00011201,14-02-1953,Female
NASAW00011202,AW00011202,22-08-1958,Female
NASAW00011203,AW00011203,18-08-1959,Male
NASAW00011204,AW00011204,29-11-1953,Female
NASAW00011205,AW00011205,21-01-1954,Female
NASAW00011206,AW00011206,24-03-1954,Male
NASAW00011207,AW00011207,16-01-1954,Female
NASAW00011208,AW00011208,03-08-1953,Female
NASAW00011209,AW00011209,12-07-1953,Female
NASAW00011210,AW00011210,06-12-1953,Male
NASAW00011211,AW00011211,08-10-1960,Female
NASAW00011212,AW00011212,05-05-1955,Female
NASAW00011213,AW00011213,11-11-1954,Female
NASAW00011214,AW00011214,07-05-1955,Male
NASAW00011215,AW00011215,17-06-1961,Female
NASAW00011216,AW00011216,17-11-1955,Female
NASAW00011217,AW00011217,11-08-1955,Female
NASAW00011218,AW00011218,07-09-1961,Female
NASAW00011219,AW00011219,31-05-1956,Male
NASAW00011220,AW00011220,19-02-1961,Female
NASAW00011221,AW00011221,08-12-1955,Male
NASAW00011222,AW00011222,14-02-1956,Female
NASAW00011223,AW00011223,15-03-1957,Female
NASAW00011224,AW00011224,05-03-1957,Female
NASAW00011225,AW00011225,12-02-1962,Female
NASAW00011226,AW00011226,23-09-1962,Female
NASAW00011227,AW00011227,08-08-1962,Male
NASAW00011228,AW00011228,16-10-1956,Female
NASAW00011229,AW00011229,01-06-1957,Male
NASAW00011230,AW00011230,30-09-1956,Female
NASAW00011231,AW00011231,11-11-1963,Male
NASAW00011232,AW00011232,27-03-1958,Female
NASAW00011233,AW00011233,06-09-1963,Male
NASAW00011234,AW00011234,19-05-1958,Female
NASAW00011235,AW00011235,07-08-1957,Male
NASAW00011236,AW00011236,02-09-1957,Male
NASAW00011237,AW00011237,22-03-1964,Male
NASAW00011238,AW00011238,07-02-1964,Female
NASAW00011239,AW00011239,02-10-1969,Female
NASAW00011240,AW00011240,09-06-1964,Female
NASAW00011241,AW00011241,06-04-1974,Female
NASAW00011242,AW00011242,11-05-1963,Male
NASAW00011243,AW00011243,08-04-1963,Female
NASAW00011244,AW00011244,22-11-1968,Female
NASAW00011245,AW00011245,26-04-1962,Male
NASAW00011246,AW00011246,08-04-1962,Female
NASAW00011247,AW00011247,04-12-1961,Female
NASAW00011248,AW00011248,22-03-1966,Male
NASAW00011249,AW00011249,09-07-1966,Female
NASAW00011250,AW00011250,08-03-1966,Female
NASAW00011251,AW00011251,01-01-1938,Male
NASAW00011252,AW00011252,05-12-1937,Male
NASAW00011253,AW00011253,24-08-1949,Male
NASAW00011254,AW00011254,31-08-1938,Male
NASAW00011255,AW00011255,02-10-1938,Male
NASAW00011256,AW00011256,20-03-1939,Female
NASAW00011257,AW00011257,06-07-2050,Female
NASAW00011258,AW00011258,26-12-1938,Male
NASAW00011259,AW00011259,24-09-1970,Female
NASAW00011260,AW00011260,08-04-1976,Female
NASAW00011261,AW00011261,22-10-1970,Female
NASAW00011262,AW00011262,01-05-1975,Female
NASAW00011263,AW00011263,11-03-1970,Female
NASAW00011264,AW00011264,15-12-1969,Male
NASAW00011265,AW00011265,10-01-1970,Female
NASAW00011266,AW00011266,02-11-1969,Female
NASAW00011267,AW00011267,29-09-1975,Male
NASAW00011268,AW00011268,31-10-1969,Female
NASAW00011269,AW00011269,10-10-1975,Male
NASAW00011270,AW00011270,01-05-1975,Male
NASAW00011271,AW00011271,03-12-1969,Female
NASAW00011272,AW00011272,10-05-1962,Female
NASAW00011273,AW00011273,31-03-1962,Male
NASAW00011274,AW00011274,10-10-1939,Male
NASAW00011275,AW00011275,18-07-1939,Female
NASAW00011276,AW00011276,15-09-1974,Female
NASAW00011277,AW00011277,07-12-1968,Male
NASAW00011278,AW00011278,16-02-1969,Male
NASAW00011279,AW00011279,08-09-1974,Female
NASAW00011280,AW00011280,17-02-1969,Male
NASAW00011281,AW00011281,06-10-1974,Female
NASAW00011282,AW00011282,16-07-1967,Male
NASAW00011283,AW00011283,24-04-1968,Male
NASAW00011284,AW00011284,24-09-1967,Female
NASAW00011285,AW00011285,15-03-1973,Male
NASAW00011286,AW00011286,31-08-1967,Male
NASAW00011287,AW00011287,16-07-1966,Male
NASAW00011288,AW00011288,12-03-1978,Female
NASAW00011289,AW00011289,03-03-1972,Female
NASAW00011290,AW00011290,14-08-1972,Female
NASAW00011291,AW00011291,01-05-1972,Female
NASAW00011292,AW00011292,05-05-1967,Male
NASAW00011293,AW00011293,23-11-1960,Male
NASAW00011294,AW00011294,02-03-1961,Male
NASAW00011295,AW00011295,13-11-1959,Female
NASAW00011296,AW00011296,05-04-1941,Female
NASAW00011297,AW00011297,01-08-1940,Male
NASAW00011298,AW00011298,30-08-1940,Male
NASAW00011299,AW00011299,29-09-1941,Male
NASAW00011300,AW00011300,31-08-1965,Male
NASAW00011301,AW00011301,07-12-1965,Male
NASAW00011302,AW00011302,09-12-1971,Male
NASAW00011303,AW00011303,10-04-1966,Female
NASAW00011304,AW00011304,14-03-1971,Female
NASAW00011305,AW00011305,17-12-1965,Male
NASAW00011306,AW00011306,20-12-1965,Male
NASAW00011307,AW00011307,31-10-1965,Male
NASAW00011308,AW00011308,02-09-1959,Male
NASAW00011309,AW00011309,10-12-1959,Female
NASAW00011310,AW00011310,05-07-1964,Female
NASAW00011311,AW00011311,21-02-1959,Female
NASAW00011312,AW00011312,01-10-1958,Female
NASAW00011313,AW00011313,27-08-1958,Male
NASAW00011314,AW00011314,16-06-1970,Female
NASAW00011315,AW00011315,31-03-1959,Female
NASAW00011316,AW00011316,17-05-1959,Male
NASAW00011317,AW00011317,14-09-1963,Female
NASAW00011318,AW00011318,25-04-1958,Female
NASAW00011319,AW00011319,23-04-1948,Female
NASAW00011320,AW00011320,24-12-1942,Female
NASAW00011321,AW00011321,05-01-1944,Male
NASAW00011322,AW00011322,12-09-1943,Female
NASAW00011323,AW00011323,18-12-1943,Male
NASAW00011324,AW00011324,10-11-1944,Male
NASAW00011325,AW00011325,29-12-1944,Male
NASAW00011326,AW00011326,23-12-1944,Male
NASAW00011327,AW00011327,01-09-1945,Male
NASAW00011328,AW00011328,30-06-1945,Male
NASAW00011329,AW00011329,22-01-1946,Male
NASAW00011330,AW00011330,10-11-1945,Male
NASAW00011331,AW00011331,03-01-1974,Female
NASAW00011332,AW00011332,02-04-1968,Female
NASAW00011333,AW00011333,07-01-1968,Female
NASAW00011334,AW00011334,19-09-1966,Female
NASAW00011335,AW00011335,18-12-1977,Female
NASAW00011336,AW00011336,08-03-1973,Male
NASAW00011337,AW00011337,21-03-1967,Male
NASAW00011338,AW00011338,06-08-1972,Male
NASAW00011339,AW00011339,05-01-1967,Male
NASAW00011340,AW00011340,03-04-1947,Female
NASAW00011341,AW00011341,18-02-1942,Male
NASAW00011342,AW00011342,07-03-1973,Male
NASAW00011343,AW00011343,09-03-1975,Male
NASAW00011344,AW00011344,21-01-1963,Female
NASAW00011345,AW00011345,09-09-1962,Female
NASAW00011346,AW00011346,18-05-1966,Female
NASAW00011347,AW00011347,17-06-1972,Male
NASAW00011348,AW00011348,21-03-1961,Male
NASAW00011349,AW00011349,30-08-1965,Female
NASAW00011350,AW00011350,14-07-1942,Female
NASAW00011351,AW00011351,02-04-1950,Female
NASAW00011352,AW00011352,04-09-1945,Male
NASAW00011353,AW00011353,09-12-1946,Female
NASAW00011354,AW00011354,23-08-1947,Female
NASAW00011355,AW00011355,26-06-1948,Male
NASAW00011356,AW00011356,24-11-1985,Male
NASAW00011357,AW00011357,19-09-1984,Male
NASAW00011358,AW00011358,10-05-1984,Female
NASAW00011359,AW00011359,03-03-1984,Male
NASAW00011360,AW00011360,30-01-1984,Male
NASAW00011361,AW00011361,26-10-1982,Female
NASAW00011362,AW00011362,11-05-1983,Male
NASAW00011363,AW00011363,19-04-1983,Male
NASAW00011364,AW00011364,22-03-1985,Female
NASAW00011365,AW00011365,06-12-1984,Female
NASAW00011366,AW00011366,23-04-1985,Female
NASAW00011367,AW00011367,21-08-1984,Male
NASAW00011368,AW00011368,24-05-1984,Male
NASAW00011369,AW00011369,01-02-1984,Female
NASAW00011370,AW00011370,29-09-1983,Female
NASAW00011371,AW00011371,24-11-1983,Female
NASAW00011372,AW00011372,12-11-1983,Female
NASAW00011373,AW00011373,16-09-1954,Female
NASAW00011374,AW00011374,25-12-1948,Male
NASAW00011375,AW00011375,05-11-1948,Male
NASAW00011376,AW00011376,07-12-1948,Male
NASAW00011377,AW00011377,23-08-1966,Male
NASAW00011378,AW00011378,19-11-1965,Female
NASAW00011379,AW00011379,13-05-1976,Male
NASAW00011380,AW00011380,29-08-1964,Male
NASAW00011381,AW00011381,18-08-1970,Female
NASAW00011382,AW00011382,15-07-1974,Male
NASAW00011383,AW00011383,25-02-1966,Female
NASAW00011384,AW00011384,13-10-1971,Female
NASAW00011385,AW00011385,08-08-1971,Male
NASAW00011386,AW00011386,02-11-1971,Female
NASAW00011387,AW00011387,29-11-1964,Female
NASAW00011388,AW00011388,20-01-1965,Male
NASAW00011389,AW00011389,20-04-1981,Male
NASAW00011390,AW00011390,17-04-1976,Female
NASAW00011391,AW00011391,25-06-1976,Female
NASAW00011392,AW00011392,03-02-1981,Male
NASAW00011393,AW00011393,17-07-1974,Male
NASAW00011394,AW00011394,22-04-1975,Male
NASAW00011395,AW00011395,16-04-1976,Female
NASAW00011396,AW00011396,04-04-1975,Male
NASAW00011397,AW00011397,02-12-1974,Female
NASAW00011398,AW00011398,09-03-1975,Male
NASAW00011399,AW00011399,01-02-1975,Female
NASAW00011400,AW00011400,15-04-1980,Male
NASAW00011401,AW00011401,23-02-1975,Female
NASAW00011402,AW00011402,20-05-1975,Female
NASAW00011403,AW00011403,06-01-1980,Female
NASAW00011404,AW00011404,30-06-1957,Female
NASAW00011405,AW00011405,16-08-1957,Female
NASAW00011406,AW00011406,31-12-1957,Female
NASAW00011407,AW00011407,30-09-1957,Male
NASAW00011408,AW00011408,10-05-1964,Male
NASAW00011409,AW00011409,02-03-1979,Female
NASAW00011410,AW00011410,22-02-2042,Male
NASAW00011411,AW00011411,12-08-1959,Male
NASAW00011412,AW00011412,07-10-1959,Female
NASAW00011413,AW00011413,13-10-1959,Female
NASAW00011414,AW00011414,15-09-1959,Male
NASAW00011415,AW00011415,03-12-1949,Male
NASAW00011416,AW00011416,16-09-1950,Female
NASAW00011417,AW00011417,26-08-1950,Female
NASAW00011418,AW00011418,09-08-1950,Male
NASAW00011419,AW00011419,18-08-1950,Male
NASAW00011420,AW00011420,09-01-1952,Male
NASAW00011421,AW00011421,16-01-1952,Female
NASAW00011422,AW00011422,29-02-1952,Male
NASAW00011423,AW00011423,04-05-1960,Female
NASAW00011424,AW00011424,03-12-1964,Female
NASAW00011425,AW00011425,02-08-1965,Female
NASAW00011426,AW00011426,01-04-1959,Male
NASAW00011427,AW00011427,17-06-1959,Female
NASAW00011428,AW00011428,19-02-1959,Female
NASAW00011429,AW00011429,13-01-1958,Male
NASAW00011430,AW00011430,21-09-1957,Female
NASAW00011431,AW00011431,20-10-1974,Male
NASAW00011432,AW00011432,10-03-1957,Female
NASAW00011433,AW00011433,01-03-1957,Male
NASAW00011434,AW00011434,02-05-1962,Male
NASAW00011435,AW00011435,03-09-1955,Female
NASAW00011436,AW00011436,17-03-1956,Female
NASAW00011437,AW00011437,16-06-1955,Male
NASAW00011438,AW00011438,13-04-1955,Female
NASAW00011439,AW00011439,14-11-1953,Female
NASAW00011440,AW00011440,26-03-1953,Male
NASAW00011441,AW00011441,09-12-1952,Female
NASAW00011442,AW00011442,13-05-1953,Male
NASAW00011443,AW00011443,19-11-1981,Female
NASAW00011444,AW00011444,26-10-1981,Female
NASAW00011445,AW00011445,18-01-1980,Female
NASAW00011446,AW00011446,09-02-1980,Female
NASAW00011447,AW00011447,13-02-1980,Female
NASAW00011448,AW00011448,25-10-1980,Male
NASAW00011449,AW00011449,01-08-1980,Male
NASAW00011450,AW00011450,11-05-1981,Male
NASAW00011451,AW00011451,08-05-1980,Male
NASAW00011452,AW00011452,05-05-1979,Female
NASAW00011453,AW00011453,17-08-1984,Male
NASAW00011454,AW00011454,20-10-1979,Female
NASAW00011455,AW00011455,19-10-1979,Male
NASAW00011456,AW00011456,05-01-1980,Male
NASAW00011457,AW00011457,18-11-1978,Female
NASAW00011458,AW00011458,03-10-1978,Female
NASAW00011459,AW00011459,12-04-1978,Female
NASAW00011460,AW00011460,04-10-1983,Male
NASAW00011461,AW00011461,22-09-1977,Male
NASAW00011462,AW00011462,18-07-1977,Female
NASAW00011463,AW00011463,09-09-1977,Female
NASAW00011464,AW00011464,15-05-1977,Male
NASAW00011465,AW00011465,18-08-1976,Male
NASAW00011466,AW00011466,30-01-1977,Male
NASAW00011467,AW00011467,06-04-1975,Male
NASAW00011468,AW00011468,15-12-1980,Female
NASAW00011469,AW00011469,14-10-1978,Male
NASAW00011470,AW00011470,25-03-1979,Male
NASAW00011471,AW00011471,25-03-1979,Female
NASAW00011472,AW00011472,30-09-1968,Male
NASAW00011473,AW00011473,30-01-1986,Female
NASAW00011474,AW00011474,21-08-1985,Male
NASAW00011475,AW00011475,07-04-1984,Male
NASAW00011476,AW00011476,16-05-1980,Female
NASAW00011477,AW00011477,21-06-1984,Male
NASAW00011478,AW00011478,22-02-1984,Male
NASAW00011479,AW00011479,20-10-1978,Male
NASAW00011480,AW00011480,07-03-1984,Female
NASAW00011481,AW00011481,20-11-1978,Female
NASAW00011482,AW00011482,16-01-1978,Female
NASAW00011483,AW00011483,19-05-1983,Male
NASAW00011484,AW00011484,03-03-1983,Male
NASAW00011485,AW00011485,04-02-1978,Male
NASAW00011486,AW00011486,21-05-1982,Female
NASAW00011487,AW00011487,05-01-1977,Female
NASAW00011488,AW00011488,20-03-1977,Male
NASAW00011489,AW00011489,03-09-1976,Female
NASAW00011490,AW00011490,05-07-1976,Male
NASAW00011491,AW00011491,02-04-1982,Male
NASAW00011492,AW00011492,15-11-1982,Male
NASAW00011493,AW00011493,31-05-1976,Female
NASAW00011494,AW00011494,25-01-1976,Male
NASAW00011495,AW00011495,03-03-1977,Male
NASAW00011496,AW00011496,15-04-1976,Male
NASAW00011497,AW00011497,22-11-1981,Female
NASAW00011498,AW00011498,15-07-1979,Male
NASAW00011499,AW00011499,13-05-1980,Male
NASAW00011500,AW00011500,17-03-1980,Female
NASAW00011501,AW00011501,03-01-1981,Female
NASAW00011502,AW00011502,03-09-1980,Male
NASAW00011503,AW00011503,11-04-1936,Male
NASAW00011504,AW00011504,17-10-1936,Female
NASAW00011505,AW00011505,04-01-1972,Female
NASAW00011506,AW00011506,14-11-1971,Male
NASAW00011507,AW00011507,19-05-1972,Female
NASAW00011508,AW00011508,04-01-1972,Female
NASAW00011509,AW00011509,22-07-1964,Female
NASAW00011510,AW00011510,10-01-1959,Male
NASAW00011511,AW00011511,10-06-1964,Male
NASAW00011512,AW00011512,05-08-1976,Female
NASAW00011513,AW00011513,23-09-1965,Female
NASAW00011514,AW00011514,16-04-1965,Male
NASAW00011515,AW00011515,25-08-1959,Female
NASAW00011516,AW00011516,13-10-1976,Female
NASAW00011517,AW00011517,18-12-1959,Female
NASAW00011518,AW00011518,06-11-1960,Male
NASAW00011519,AW00011519,13-09-1960,Male
NASAW00011520,AW00011520,08-10-1960,Female
NASAW00011521,AW00011521,01-12-1977,Female
NASAW00011522,AW00011522,17-06-1972,Male
NASAW00011523,AW00011523,07-02-1962,Male
NASAW00011524,AW00011524,22-07-1961,Female
NASAW00011525,AW00011525,08-07-1961,Female
NASAW00011526,AW00011526,30-01-1973,Female
NASAW00011527,AW00011527,02-12-1961,Female
NASAW00011528,AW00011528,15-08-1968,Female
NASAW00011529,AW00011529,16-05-1963,Male
NASAW00011530,AW00011530,23-01-1963,Male
NASAW00011531,AW00011531,07-07-1962,Female
NASAW00011532,AW00011532,26-08-1962,Female
NASAW00011533,AW00011533,17-07-1968,Female
NASAW00011534,AW00011534,12-05-1964,Male
NASAW00011535,AW00011535,31-12-1963,Male
NASAW00011536,AW00011536,13-04-1969,Male
NASAW00011537,AW00011537,21-09-1963,Male
NASAW00011538,AW00011538,24-02-1965,Female
NASAW00011539,AW00011539,18-08-1970,Male
NASAW00011540,AW00011540,24-01-1970,Male
NASAW00011541,AW00011541,09-10-1964,Male
NASAW00011542,AW00011542,07-09-1979,Male
NASAW00011543,AW00011543,16-08-1973,Female
NASAW00011544,AW00011544,04-05-1979,Male
NASAW00011545,AW00011545,22-09-1973,Male
NASAW00011546,AW00011546,11-09-1973,Female
NASAW00011547,AW00011547,05-03-1979,Female
NASAW00011548,AW00011548,11-04-1974,Male
NASAW00011549,AW00011549,03-09-1979,Female
NASAW00011550,AW00011550,05-08-1979,Female
NASAW00011551,AW00011551,21-05-2050,Male
NASAW00011552,AW00011552,23-11-1972,Male
NASAW00011553,AW00011553,08-03-1973,Female
NASAW00011554,AW00011554,27-03-1932,Female
NASAW00011555,AW00011555,04-07-1937,Female
NASAW00011556,AW00011556,10-11-1972,Male
NASAW00011557,AW00011557,14-07-1972,Female
NASAW00011558,AW00011558,18-02-1973,Male
NASAW00011559,AW00011559,12-12-1978,Male
NASAW00011560,AW00011560,09-08-1978,Female
NASAW00011561,AW00011561,21-01-1972,Female
NASAW00011562,AW00011562,17-10-2038,Male
NASAW00011563,AW00011563,01-08-1971,Male
NASAW00011564,AW00011564,09-01-1972,Male
NASAW00011565,AW00011565,30-12-1971,Male
NASAW00011566,AW00011566,01-03-1973,Female
NASAW00011567,AW00011567,19-09-1978,Female
NASAW00011568,AW00011568,21-04-1972,Female
NASAW00011569,AW00011569,06-05-1977,Male
NASAW00011570,AW00011570,22-07-1971,Female
NASAW00011571,AW00011571,15-11-1971,Male
NASAW00011572,AW00011572,11-03-1977,Male
NASAW00011573,AW00011573,11-11-1976,Female
NASAW00011574,AW00011574,14-01-1971,Female
NASAW00011575,AW00011575,19-10-1970,Male
NASAW00011576,AW00011576,10-08-1970,Male
NASAW00011577,AW00011577,21-04-1971,Female
NASAW00011578,AW00011578,08-05-1970,Female
NASAW00011579,AW00011579,13-02-1981,Male
NASAW00011580,AW00011580,12-03-1939,Male
